SimulationID,AdjustedLatency,AdjustedNetworkCost
56c7d730-b215-4e99-b9af-c3dd3c2263f8,0.58407310159565,270.78000000000003
d4ba012f-4038-474c-aeb0-c520f0bac605,0.5840515313642,275.78
4b4a1a3f-60c7-4cca-8205-b9e0ef154c8b,0.5854904044175,262.78000000000003
680e0a11-8680-44e3-b1fd-7c929658bda0,0.5828869849532,245.77999999999997
39778641-e15b-448f-977c-05ddc291d0df,0.5839261963718,203.77999999999997
acbb5a16-eb05-48dc-9c1f-836f0c40fd6b,0.585465978563,220.77999999999997
3b92fea9-1463-4221-a40c-07ffa13c7a33,0.583534069736,263.78000000000003
b41e155b-cca7-44bc-a268-839dec567d05,0.5877766018474,279.78
28effd83-d9b7-446a-8c13-33f2d05fd3ee,0.5836218032827,244.77999999999997
95bc43fc-ead8-4c67-83de-115b7902817e,0.5829047912087,233.78
d365cf00-2e61-4949-8475-78d52401c882,0.58424936687545,214.77999999999997
5af3d140-38ed-484c-882f-22132fbf89ab,0.58329951413655,223.77999999999997
347f14af-87ed-422c-af6b-ab6d357f66e1,0.5864694836172,239.78
4d957198-6886-4e86-81f8-c09e9d651fe0,0.58052400164275,273.78
f5024530-744a-4dfa-91b4-6d6b2772d61f,0.58585331010225,212.77999999999997
4f819256-f8af-436c-8f9e-f39eaf457c24,0.58251361307555,203.77999999999997
6e6dc9c5-2c93-42a3-aec6-b0dde7144ef0,0.58382389424395,275.78
fbe9d5ea-5a33-49dd-93c0-2e227d4ff111,0.5863913918828,261.78
02d06f64-358f-4ca2-bbbf-347de3a02eed,0.5834507197988,233.77999999999997
ed67af75-3305-4bf6-9923-a5b5da532ac1,0.58674643210065,263.78
8ec432f7-c5a5-44fe-8bcc-36279b8ca004,0.5839261963718,203.77999999999997
a20dba0e-5ad5-473c-9236-21fc4219d743,0.585465978563,220.77999999999997
1a332fd0-b012-42f9-838b-803803d68797,0.5840515313642,275.78
02c84b1a-5ab4-42a5-9c8c-332955e6afb5,0.58407310159565,270.78000000000003
4d9bd8f7-8413-4b78-94d3-c6ecfa729b86,0.58285505785705,234.78
f7d48901-0d98-4147-b41b-7a4073d064c6,0.5820833222673,248.77999999999997
8745f790-ac5a-4c3d-826b-9cf0a0d2775a,0.58424936687545,214.77999999999997
84c75cc9-a23c-49c1-a438-62d88962592e,0.58329951413655,223.77999999999997
ed5603ea-9768-42c4-85ca-4443b4fd81fa,0.5833128466951,243.77999999999997
84fd1c79-b548-4b49-9c3c-04f3f9832186,0.58872016220475,231.77999999999997
99229a49-08a5-474d-9119-2997e7e4afc1,0.58585331010225,212.77999999999997
5b2f05d8-ac5d-4a0e-98d5-30a7416e0202,0.58251361307555,203.77999999999997
6773c527-1738-4657-93d5-f0ebdaab94c7,0.58152272131025,204.78
21adf59c-ce71-422b-9501-1076f2ec3f73,0.58317392695965,252.78
6ccb4ff7-9aeb-4e5b-969e-b53e69c40876,0.5846903790661,207.77999999999997
9077e6c5-60cc-442f-bdd4-c057771d3d3c,0.5821594384888,262.78000000000003
2295961e-9df0-4dce-a01f-e82b1c51cf08,0.5839261963718,203.77999999999997
8f906938-3e09-4788-856a-a6a16000b0c2,0.58731748998625,249.78
7c6247dd-c748-461f-a8d6-6ad201ec6c39,0.5900994557506,252.78
f3cd61a8-44f0-4e30-ba68-14e4c620545b,0.58464154665065,229.78
778458fb-444a-4eea-b92a-8d1e3441c65d,0.58502972900295,234.78
853aa1ee-bbca-4928-abbf-9eb910b39b55,0.5846473067578,268.78000000000003
222fee3a-f323-44e2-98f9-bf5aae9048f3,0.5822926353758,245.78
b6f2da88-b617-450a-8eb2-37b4d8e8f42e,0.58508146145565,220.77999999999997
4c1e04bb-26d2-4dfd-aa9a-548e366f4b50,0.5829371508604,243.77999999999997
4e10e141-1aab-4c44-a764-90c6719ff065,0.58487728269855,228.78000000000003
572f8c37-cf0d-4695-97ab-fc0442a4e126,0.58376916272465,216.78
6228650d-1ac1-45f7-bf56-193b81650ad1,0.58251361307555,203.77999999999997
ae5a0f90-27b3-4b1c-9af0-513197f8be20,0.58152272131025,204.78
c77a1df9-9a5e-4602-96b7-6d6575a87ab6,0.57903911746925,249.78
acc3f883-4f1e-473f-a0e9-c30e206a566c,0.5846903790661,207.77999999999997
4bd48448-5c50-48b8-a16c-0ad1766d8e15,0.58479171960095,217.77999999999997
99e9e7b5-5b29-4e15-ab33-d95c9cbd8ffd,0.5839261963718,203.77999999999997
d938b910-14c1-4992-bc97-eca2867aa7d0,0.5846903790661,207.77999999999997
1c3b70fd-3e06-4169-a36b-8ddd632f28c4,0.5857131609695,218.77999999999997
912ee583-d4a9-423d-9226-11c848400670,0.5812177110328,236.78
64d8dc9f-ca75-4016-a2d8-2f98dcd8c48e,0.58152272131025,204.78
52bfc3b3-8c64-4c5f-ad93-956d285eb201,0.5834019120042,210.77999999999997
bc822890-48f2-466e-acd9-5af8b1d15640,0.58200339112765,247.78
2ff646c0-fb19-478b-b960-936312da7125,0.58508146145565,220.77999999999997
61a74ae8-06dd-4fbd-b1ce-f0ea0214d5aa,0.58256098264035,255.77999999999997
4f23d36c-9840-4e11-ba83-5385d04a440e,0.58362091020345,260.78
71771e51-4dfc-4ec5-b89d-6be0a0718cc8,0.58376916272465,216.78
4487e77f-4ed2-433b-9a03-72574115a842,0.58251361307555,203.77999999999997
08e29d44-0bd3-469d-b09a-025598e97172,0.58152272131025,204.78
f30ffa00-3292-43de-8106-fb663af8b4ce,0.5838112428051,241.77999999999997
9653fdd3-6ccc-40ca-ae70-7c3b8e5ca0f1,0.58201307958225,242.78
9c44d516-1efe-4a2d-8ee2-8649de21c7c5,0.58441737352435,269.78000000000003
a83dfc66-b05c-4c54-8fbc-3f655a30fbf0,0.5881862985921,235.77999999999997
6ac61cd1-295a-45ba-89ec-a4fc79ce0f65,0.58392614822245,216.78
a3c10bf1-816d-4c3e-a604-fd79e7679280,0.5864137073895,215.77999999999997
46981fb7-2686-4233-a459-f7c55b2c50fd,0.58387092504185,310.78
eec78bd0-ea60-4f77-8a91-7f9ff52a261f,0.58401202114985,213.77999999999997
b325b718-d38e-4c3d-a641-3c0d8916b915,0.5848301212032,244.77999999999997
230facf4-e39f-46ff-88f2-068fdb6cc1ff,0.58370598546025,233.77999999999997
e3de04c8-066b-434c-8d7f-5b2760ee6f68,0.58513926687295,232.78
5cb29f7d-956c-4280-99b9-1d132de0cbba,0.58373039148265,200.77999999999997
2e534564-6519-4069-9657-97b47b6b4b9a,0.5853763339186,246.78000000000003
f54b82d9-3d56-42d1-9303-f49dd5ad1116,0.5863710024546,191.77999999999997
b717acc7-7fd5-4691-9efb-c33e1f351087,0.58251361307555,203.77999999999997
