SimulationID,CountPacketsSent,PacketsSentSum,CountPacketsReceived,PacketsReceivedSum,MeanEndToEndDelay,StddevEndToEndDelay,MinEndToEndDelay,MaxEndToEndDelay
27e2a7a6-2b32-494e-b9ce-c0f912f1d8b3,90,65362,457,615284,0.0026817912467352,0.0009032273379188,0.00101630485,0.005864534814
cf6ce395-ffab-402c-af7e-34e6a65add3f,35,24535,163,217447,0.0019971669942945,0.0003736717546376,0.000306268,0.003016367601
cf3adf9a-a7c0-47f3-8370-eb21afc104c0,27,17619,89,110702,0.001867122229382,0.0004969018774362,0.000454036,0.003577428
3fe0753c-12bd-4f0a-8742-1ee7275c2b06,14,9959,66,87885,0.0019024545454545,0.0003735602649907,0.000340852,0.002649428
098f8c71-f24f-42a4-a317-58eccaf338c7,11,8334,45,61287,0.0018385568888889,0.0002191038005377,0.001600548,0.002450388
