run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4].gate$o[0].channel,delay,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4].gate$o[0].channel,delay,unit,s,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[3].gate$o[0].channel,typename,,,"""Tictoc16.Channel""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[3].gate$o[0].channel,disabled,,,false,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[3].gate$o[0].channel,disabled,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[3].gate$o[0].channel,delay,,,0.1s,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[3].gate$o[0].channel,delay,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[3].gate$o[0].channel,delay,unit,s,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[4].gate$o[1].channel,typename,,,"""Tictoc16.Channel""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[4].gate$o[1].channel,disabled,,,false,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4].gate$o[1].channel,disabled,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[4].gate$o[1].channel,delay,,,0.1s,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4].gate$o[1].channel,delay,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4].gate$o[1].channel,delay,unit,s,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[4].gate$o[2].channel,typename,,,"""Tictoc16.Channel""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[4].gate$o[2].channel,disabled,,,false,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4].gate$o[2].channel,disabled,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[4].gate$o[2].channel,delay,,,0.1s,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4].gate$o[2].channel,delay,mutable,,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4].gate$o[2].channel,delay,unit,s,,,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[5].gate$o[0].channel,typename,,,"""Tictoc16.Channel""",,,,,,,,,,
General-0-20231004-21:10:08-4769,param,Tictoc16.tic[5].gate$o[0].channel,disabled,,,false,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[5].gate$o[0].channel,disabled,mutable,,,,,,,,,,,,
