SimulationID,CountPacketsSent,PacketsSentSum,CountPacketsReceived,PacketsReceivedSum,MeanEndToEndDelay,StddevEndToEndDelay,MinEndToEndDelay,MaxEndToEndDelay
b3a88bb0-988f-414d-ba1f-6010fd03312d,16,12806,52,67990,0.0011998864814231,0.0005656544353746,0.00045146,0.002701591338
a97728f1-2699-4037-91b4-6ae63c12211f,15,960,75,98874,0.00135048700576,0.0006683400279401,0.000475747828,0.003072286442
1908254e-5468-494f-9c1b-2c2c7ebecbfe,16,4096,66,88299,0.0010683945806818,0.0004323426729379,0.00017118,0.0022963
c28a8e05-3028-4ac0-ab63-bbe1d703b3e1,18,9216,81,108274,0.0011264009828272,0.0004883354918984,0.00067234,0.002650244
f50a1136-0e5b-4f96-b74c-45e2124d53a9,15,15360,52,67522,0.0011488368506154,0.0004901924209125,0.00018526,0.002114364152
f0807c16-b28e-4777-a2e0-6bfa08dbbccf,19,26600,96,130887,0.0012245793671042,0.0006052429690758,0.00067234,0.00341754
