best_fitness_value_untill_current_iteration,configuration_point_1,configuration_point_2,configuration_point_3,configuration_point_4,configuration_point_5,configuration_point_6,configuration_point_7,configuration_point_8,configuration_point_9,configuration_point_10,configuration_point_11,configuration_point_12,configuration_point_13,configuration_point_14,configuration_point_15,configuration_point_16,configuration_point_17,configuration_point_18,configuration_point_19,configuration_point_20,configuration_point_21,configuration_point_22,configuration_point_23,configuration_point_24,configuration_point_25,configuration_point_26,configuration_point_27,configuration_point_28,configuration_point_29,configuration_point_30,configuration_point_31,configuration_point_32,configuration_point_33,configuration_point_34,configuration_point_35,configuration_point_36,configuration_point_37,configuration_point_38,configuration_point_39,configuration_point_40,configuration_point_41,configuration_point_42,configuration_point_43,configuration_point_44,configuration_point_45,configuration_point_46,configuration_point_47,configuration_point_48,configuration_point_49
0.61202320598244,0.8630128095194605,0.3734439376571803,0.9140786101118986,0.2159509854689542,0.36379026894936817,0.2055741238373564,0.7476345213350354,0.43269978285762256,0.538660731946977,0.24854332129563084,0.47534558597648513,0.1542082077885336,0.3235082647723715,0.45685301888920804,0.39399441781774847,0.10239417385199767,0.13675460583298327,0.7820789000019063,0.5033041028121605,0.8069404517124499,0.2505817878295916,0.28303960121814675,0.6615420529456401,0.027792765313872092,0.23932324245002323,0.15726388009856196,0.3897463359316864,0.11732443096975875,0.27861951067609003,0.425050980768676,0.058707478901195986,0.033257492785780496,0.6126156738436352,0.41010083313612733,0.20409896175260966,0.09830076834223678,0.8764761217769954,0.5723074315949167,0.7373882587276114,0.1375823252854631,0.721333261645015,0.07083501736820952,0.22358888448070835,0.6429594434270498,0.8038640763176506,0.7128059803305677,0.2794931372686288,0.07424606297272196,0.4456882130839861
0.6106153413575146,0.2512654805382576,0.15826293277486297,0.5674721848817407,0.32270288283226856,0.6133622680112216,0.38654193107568163,0.5972001926764999,0.12340553920423053,0.8321014119968282,0.6827450009054072,0.09164994420240968,0.3110165603204089,0.7176024735097002,0.7736428173806328,0.7299422841657592,0.26377194494679357,0.06338329247905322,0.8338570873472873,0.0773517284637808,0.5184659979482386,0.7024788382536582,0.4238441538516666,0.23066820043469577,0.037179044055828336,0.387619023359484,0.19184517729558698,0.9330385308683768,0.07203100347986335,0.6327887547111737,0.46869522609319947,0.4056135919667026,0.5749548437934866,0.27791644144715943,0.5428456341305986,0.6061976057743582,0.15885163164301846,0.37654203346929715,0.33222591140177743,0.017648071862506887,0.24583816293002714,0.47820151910943515,0.2410904961685969,0.32691920343980624,0.19137227932448997,0.515924322660208,0.6967904436384224,0.402122005667733,0.09914812954025243,0.3997619550514484
0.5889302706764036,0.3245190545832632,0.1066751516045169,0.664415822210453,0.36623376903144444,0.8586234844458329,0.5832276328388721,0.7402235086708899,0.3341610429268487,0.6714477037772196,0.4042369735024116,0.40638858675933615,0.25583892836737826,0.29551017037717653,0.4309394297425438,0.4888087101102494,0.3110483851518741,0.16658317300788117,0.2062886180529021,0.44350040281001957,0.6444615264780085,0.47686872152466336,0.3603560106393787,0.6801551572079276,0.18727182843436974,0.38295053030458015,0.08733551606731027,0.6833101370921558,0.21990610063911803,0.501437429063341,0.6983282125700956,0.37237453078426747,0.35797043291518005,0.490122631365521,0.2503905853743382,0.45476655517743997,0.5670192486411996,0.6213215022611158,0.07663737481629801,0.37697113742405497,0.35820826629589714,0.5094995252715188,0.47419147419740176,0.3473786677596898,0.28034020404343746,0.5373288210985596,0.35981228880411703,0.56799656293867,0.15048708041168285,0.43970065530393077
0.5763390448145512,0.35175445593784327,0.26553716841737623,0.3185436240390044,0.3484832393079974,0.8120262739302635,0.4911866610399511,0.5601957559439652,0.46095736593922376,0.30048660924576803,0.30114659369194835,0.45123602179307754,0.38715914720058575,0.3976417906894859,0.4023861360449269,0.4584928262627328,0.13603596333314816,0.35174916385940114,0.2516170286738775,0.2963744521313003,0.6229254114043363,0.4191610011980638,0.582935260191293,0.5592432740878284,0.39554678968156026,0.38486076894985616,0.33306027905574154,0.6834139141124957,0.23076328534141155,0.40816388550379223,0.3459155517391506,0.4313388657361009,0.2994323746200508,0.4415462738703589,0.47117196807593276,0.31666334646410643,0.3322702867939971,0.6144384035398646,0.3144777982173438,0.44870605148106507,0.3440311905241881,0.6767321419602835,0.4033571430595039,0.45585512905935327,0.3793187451638811,0.37645286246609766,0.5951000955511514,0.5617419099914912,0.0834518319996333,0.3432950917180084
0.5719005962020032,0.34960596759035184,0.3682433123451744,0.5674516662726262,0.3520213348133193,0.4832064359075142,0.45828538246637396,0.4819402300029186,0.4356349152862077,0.5463948050487915,0.4218774492701684,0.37757493677021936,0.36332175977459436,0.5228531342354944,0.4810226390304061,0.5956921781820995,0.26201251861802966,0.21660324118680446,0.3883410393908896,0.315017511766196,0.664790572121355,0.4319513948313602,0.5155035624777214,0.43110599321493914,0.3462568722941036,0.32549847610008054,0.31754366245098814,0.4276647795232806,0.30727420372964004,0.5886759276207563,0.38607686303978306,0.37060389750303496,0.4297878916788947,0.491003044970917,0.5088076519401008,0.40384414763899446,0.4795256254352189,0.5005994433659819,0.1254543031362696,0.3289405077425285,0.2869050867623649,0.5475945272362721,0.38817279987951464,0.4230127317894574,0.3934175310644243,0.39737784681194277,0.651397768434733,0.3800789463589698,0.17404954155558228,0.2080592757224085
0.565851911264592,0.43410199437614055,0.33202501013352337,0.47262637591311224,0.34644525413960303,0.4733889272140149,0.41744505878265387,0.5111891747250636,0.37708688090748615,0.47650962877552344,0.4259703479897462,0.2648061428632956,0.3733027331162713,0.33951801189968583,0.5260372963634126,0.5953390283340885,0.23272671574784792,0.1488714893823458,0.49629600581839584,0.30997890636234204,0.5332537020344874,0.4178905032588981,0.4689073547423841,0.37325044935166607,0.41932565363068597,0.353085563551194,0.3593894279185584,0.5713058725275152,0.13019494345416494,0.47006547238342467,0.6327167718359592,0.4958851464074586,0.4124095212522617,0.42704570283776766,0.5348711824341799,0.25971734175893557,0.2140150741060738,0.7005651236835513,0.3295577143309396,0.4716393434014791,0.23254952073995155,0.4370332469350148,0.3242113064847948,0.3742082503295019,0.29023199952188344,0.5893155578135229,0.5201072714497347,0.4414152389696051,0.16436010375413274,0.3511373714907928
0.5644697339779347,0.38897202197459935,0.3480370472509472,0.49332612917214635,0.35192049620453164,0.483275792294459,0.45508035451535855,0.4955485583699866,0.4169649747579952,0.5090026957911135,0.42034444973791535,0.3617954683552054,0.36352170701739583,0.4459010245792283,0.48354792416832737,0.5905922230907081,0.23197466554821922,0.2157228701445178,0.38864190740806415,0.3119919213140439,0.6475717935099834,0.42573567312584326,0.5003525524206193,0.42389869509755196,0.3815983769311881,0.3325783534697429,0.3278239308548484,0.4398234583690441,0.2251460155356253,0.5541053119067451,0.49446147255314865,0.42772599489928564,0.4266014906385755,0.46121321713756375,0.5094878505117303,0.3649229284368174,0.42553666923182665,0.5756578637398461,0.1895008957858202,0.340148607283988,0.2833909999621702,0.5153931549583785,0.35794979625665424,0.4111456884131217,0.3389280442850841,0.4858097597964661,0.6289378292709932,0.40343204334367866,0.15701457775410604,0.27500474504942807
0.5644697339779347,0.38897202197459935,0.3480370472509472,0.49332612917214635,0.35192049620453164,0.483275792294459,0.45508035451535855,0.4955485583699866,0.4169649747579952,0.5090026957911135,0.42034444973791535,0.3617954683552054,0.36352170701739583,0.4459010245792283,0.48354792416832737,0.5905922230907081,0.23197466554821922,0.2157228701445178,0.38864190740806415,0.3119919213140439,0.6475717935099834,0.42573567312584326,0.5003525524206193,0.42389869509755196,0.3815983769311881,0.3325783534697429,0.3278239308548484,0.4398234583690441,0.2251460155356253,0.5541053119067451,0.49446147255314865,0.42772599489928564,0.4266014906385755,0.46121321713756375,0.5094878505117303,0.3649229284368174,0.42553666923182665,0.5756578637398461,0.1895008957858202,0.340148607283988,0.2833909999621702,0.5153931549583785,0.35794979625665424,0.4111456884131217,0.3389280442850841,0.4858097597964661,0.6289378292709932,0.40343204334367866,0.15701457775410604,0.27500474504942807
0.5644697339779347,0.38897202197459935,0.3480370472509472,0.49332612917214635,0.35192049620453164,0.483275792294459,0.45508035451535855,0.4955485583699866,0.4169649747579952,0.5090026957911135,0.42034444973791535,0.3617954683552054,0.36352170701739583,0.4459010245792283,0.48354792416832737,0.5905922230907081,0.23197466554821922,0.2157228701445178,0.38864190740806415,0.3119919213140439,0.6475717935099834,0.42573567312584326,0.5003525524206193,0.42389869509755196,0.3815983769311881,0.3325783534697429,0.3278239308548484,0.4398234583690441,0.2251460155356253,0.5541053119067451,0.49446147255314865,0.42772599489928564,0.4266014906385755,0.46121321713756375,0.5094878505117303,0.3649229284368174,0.42553666923182665,0.5756578637398461,0.1895008957858202,0.340148607283988,0.2833909999621702,0.5153931549583785,0.35794979625665424,0.4111456884131217,0.3389280442850841,0.4858097597964661,0.6289378292709932,0.40343204334367866,0.15701457775410604,0.27500474504942807
0.5644697339779347,0.38897202197459935,0.3480370472509472,0.49332612917214635,0.35192049620453164,0.483275792294459,0.45508035451535855,0.4955485583699866,0.4169649747579952,0.5090026957911135,0.42034444973791535,0.3617954683552054,0.36352170701739583,0.4459010245792283,0.48354792416832737,0.5905922230907081,0.23197466554821922,0.2157228701445178,0.38864190740806415,0.3119919213140439,0.6475717935099834,0.42573567312584326,0.5003525524206193,0.42389869509755196,0.3815983769311881,0.3325783534697429,0.3278239308548484,0.4398234583690441,0.2251460155356253,0.5541053119067451,0.49446147255314865,0.42772599489928564,0.4266014906385755,0.46121321713756375,0.5094878505117303,0.3649229284368174,0.42553666923182665,0.5756578637398461,0.1895008957858202,0.340148607283988,0.2833909999621702,0.5153931549583785,0.35794979625665424,0.4111456884131217,0.3389280442850841,0.4858097597964661,0.6289378292709932,0.40343204334367866,0.15701457775410604,0.27500474504942807
