SimulationID,CountPacketsSent,PacketsSentSum,CountPacketsReceived,PacketsReceivedSum,MeanEndToEndDelay,StddevEndToEndDelay,MinEndToEndDelay,MaxEndToEndDelay
ca4092b7-ec51-4307-91fd-7492dd9bf5f2,11,8397,51,65742,0.0014219270177255,0.0011100021234117,8.79744e-05,0.004168149204
022967ad-bacf-4386-a6f0-649e00214ab9,22,13835,22,11000,0.0002177563948181,2.8198536498528e-06,0.0002171552,0.000230381486
303426dd-0dda-4672-9b19-f0606ead3609,18,11234,18,18000,0.0004261262882222,1.8546902313307e-05,0.0004215552,0.000500370788
d3f1a3cf-4641-418e-b957-1827a589c6b5,14,10620,56,70000,0.0009546745284285,0.0003087469609375,0.0006247288,0.0020284168
645dce68-be61-46f1-bfa1-36d35c9ceebb,12,7643,84,120000,0.0014164568015595,0.000588237667978,0.0006247288,0.0027773448
38926535-ed97-4f42-89e1-be33489e2d16,14,10806,454,676046,0.31853548729491,0.037283665972558,0.233234598462,0.364986252518
