SimulationID,CountPacketsSent,PacketsSentSum,CountPacketsReceived,PacketsReceivedSum,MeanEndToEndDelay,StddevEndToEndDelay,MinEndToEndDelay,MaxEndToEndDelay
0c6256cf-9d87-4dc7-9543-f3b68114881f,11,8397,51,65742,0.001424102531451,0.0011090416120197,8.84856e-05,0.004168895604
e85b4051-48b1-47ad-90af-caa851fbf144,81,53582,362,488760,0.23476974630939,0.011870676194797,0.1820046128,0.2535853712
0967f368-0ddd-4401-8c4a-faef48eb2dd9,17,13265,64,85054,0.0826450305125,0.0077712776387814,0.0663096912,0.095688104
e7db4019-075c-42f7-ab9d-b7121a9fa508,9,7958,39,52425,0.085531923897436,0.0067672923201391,0.0741414568,0.095688104
f3f9552c-3181-4712-912f-066151c6675c,75,54668,291,399232,0.21947352329147,0.0045717079215441,0.208710327485,0.228130240014
e8421b7d-679f-475a-ae36-6eafcc3501d4,11,9016,50,67622,0.0010601969033,0.000448318941188,0.0003027208,0.0022101512
