workflow,design_point_queue_base.general.num_dp_queued,design_point_queue_base.general.num_dp_dequeued,workflow.1,manager.general.environment_start,manager.general.num_dp,manager.general.num_dp_unique,manager.general.num_eval_rc,manager.general.num_dp_finished,manager.general.environment_end,manager.general.environment_time,workflow.2,workflow.3,workflow.4,num_nodes,num_workers,num_sims,model,time_stamp
n2_w1_s2,1,2,n2_w1_s2,1694961329.3726742,2,2,2,2,1694961395.5051498,66.13247561454773,n2_w1_s2,n2_w1_s2,n2_w1_s2,2,1,2,seq_comm,20230917_143528
n2_w1_s2,1,2,n2_w1_s2,1694965255.3211355,2,2,2,2,1694965325.947683,70.62654781341553,n2_w1_s2,n2_w1_s2,n2_w1_s2,2,1,2,seq_comm,20230917_154054
