SimulationID,CountPacketsSent,PacketsSentSum,CountPacketsReceived,PacketsReceivedSum,MeanEndToEndDelay,StddevEndToEndDelay,MinEndToEndDelay,MaxEndToEndDelay
419e5bdc-f0ff-4625-952c-ca87c4377c4a,14,9989,66,87268,0.0008362496969697,0.0002675967517853,0.0002276,0.00157632
036d06d6-1ac6-403c-946d-feb2eb8e2b80,10,7846,51,67018,0.0008805207843137,0.0002892711088777,0.00055016,0.00154664
cb392987-4759-4090-8b4d-0572ae263bf8,22,17874,106,144396,0.000900096981132,0.0003683040821494,5.336e-05,0.00204176
0ca025dc-3559-4667-afc0-cd3441251322,14,10356,69,90735,0.0008624556521739,0.0002991530985744,9.044e-05,0.00152648
b701e269-26e2-452e-a06e-f6f223b9bfb9,22,14106,107,144202,0.0008983177570093,0.0003389631597873,0.00026756,0.00180528
2a1b38dd-a886-48e5-b270-ace7eb20d7a6,21,16357,106,146931,0.0008681916981132,0.0002828703831438,0.00015884,0.00172312
